Subject,Course No,Name,Gen Ed,Major ,Major,Major,Pre req,Pre req,Pre req,Pre req
Education,615K,W/E Community College Leadership,,,,,,,,
Education,615N,W/E:Children Their Literacies,,,,,,,,
Education,615S,W/E:Language & Literacy Policy,,,,,,,,
Education,615T,W/E:College Impact on Students,,,,,,,,
Education,615TT,W/EEducation in Context,,,,,,,,
Education,615Z,W/E:Introduction To International Education,,,,,,,,
Education,616,Principles of Second Language Learning & Teaching,,,,,,,,
Education,617,Law & Higher Ed,,,,,,,,
Education,618,Law for School Leaders,,,,,,,,
Education,619,Qualitative Research Methods in Education,,,,,,,,
Education,620,Supporting L2 Literacy Development,,,,,,,,
Education,621,Managing Higher Education,,,,,,,,
Education,621A,Higher Education Finance Policy,,,,,,,,
Education,621B,"Race, Class, and Gender in Higher Education",,,,,,,,
Education,622,Theories of Educational Equity,,,,,,,,
Education,623,Project Planning & Proposal Development for NonFormal Education,,,,,,,,
Education,624,Contemporary & Historical Constructions of Social Justice Education,,,,,,,,
Education,625,Classroom Assessment,,,,,,,,
Education,626,Social Theories In Education,,,,,,,,
Education,627,Curriculum Design & Instruction For Social Justice Education,,,,,,,,
Education,628,Prevention and Intervention for Mental Health Problems in Schools,,,,,,,,
Education,629,Policy Issues in International Education,,,,,,,,
Education,630,Master's Seminar in International Education,,,,,,,,
Education,631,Theories and Techniques in SchoolBased Counseling,,,,,,,,
Education,632,Prin of Educational & Psychological Testing,,,,,,,,
Education,632A,"Educational Policy, Research and Administration: Fundamentals of Test Construction",,,,,,,,
Education,633,Education and Public Policy,,,,,,,,
Education,635,Iss Literacy Prog Dv,,,,,,,,
Education,636,Ethical Practice of Applied Behavior Analysis,,,,,,,,
Education,637,Nonparametric Statistical Analysis in Education and Psychology,,,,,,,,
Education,638,Collaboration for Student Achievement,,,,,,,,
Education,639,School Counseling Curriculum: Development & Implementation,,,,,,,,
Education,640,Material Devlpmnts FormalNonFormal Ed,,,,,,,,
Education,641,"Student Life Research: Assessing Undergraduates' Experiences, Attitudes and Behaviors",,,,,,,,
Education,642,Principles & Practices of Student Affairs Administration,,,,,,,,
Education,643,MED Seminar in Higher Educ I,,,,,,,,
Education,644,MED Seminar in Higher Educ II,,,,,,,,
Education,645,Inquiry Into Children's Schooling,,,,,,,,
Education,646,Leadership for Curriculum and Instruction,,,,,,,,
Education,647,Meth/Mat In Spec Ed,,,,,,,,
Education,647A,Assistive Technology for Learners with Disabilities,,,,,,,,
Education,648,Oppression & Education,,,,,,,,
Education,649,Train For NonFormal Ed,,,,,,,,
Education,650,Regression Analysis,,,,,,,,
Education,651,Teaching Mathematical Problem Solving,,,,,,,,
Education,652,Mixed Methods Research,,,,,,,,
Education,653,Collaborative & Integrative Teaching Strategies in Special Education,,,,,,,,
Education,654,Policy Studies In Educational Administration,,,,,,,,
Education,655,Advanced Strategies for Teaching Students with Autism Spectrum Disorders,,,,,,,,
Education,656,Statistics and Computer Analysis II,,,,,,,,
Education,657,Introduction to Urban Education,,,,,,,,
Education,658,Knowledge & Skill Application Lab,,,,,,,,
Education,659,School Management,,,,,,,,
Education,660,Language & Literacy Instruction for Students with Disabilities,,,,,,,,
Education,661,Educational Research Methods I,,,,,,,,
Education,662,Integrated Methods,,,,,,,,
Education,663,Experimental Single Case Research Designs for Educators and Helping Professionals,,,,,,,,
Education,664,Experimental Group Research Designs for Educators and Helping Professionals,,,,,,,,
Education,665,Org For Curric Devel,,,,,,,,
Education,666,The River that Connects Us: Environmentally Based Education,,,,,,,,
Education,667,Theory of Learning and Teaching in STEM Education,,,,,,,,
Education,668,Learning Disabilities in Children and Youth,,,,,,,,
Education,669,Policy & Legal Perspectives in Special Education,,,,,,,,
Education,670,Lang & Lang Lrng,,,,,,,,
Education,671,Survey Research Methods,,,,,,,,
Education,672,Teaching Math to Students with Disabilities,,,,,,,,
Education,673,Adv Child Developmnt,,,,,,,,
Education,674,Leading Higher Education,,,,,,,,
Education,674A,International Higher Education Policy,,,,,,,,
Education,674B,Higher Education Policy,,,,,,,,
Education,675,Master's Integrative Seminar in Higher Education,,,,,,,,
Education,676,Secondary Data Analysis In Education Research,,,,,,,,
Education,677,Fnd Bil Esl Multi Ed,,,,,,,,
Education,678,Cultural Studies & International Development,,,,,,,,
Education,679,Assessment of Special Needs Children & Youth,,,,,,,,
Education,680,How Children In Developing Countries Learn to Read,,,,,,,,
Education,680B,Systems to Support Early Grade Reading in Developing Countries,,,,,,,,
Education,681,Teaching of Reading and Writing for Content and Language Learning,,,,,,,,
Education,683,Women in Higher Education,,,,,,,,
Education,684,"Rdg,Wrt,LangThinkng",,,,,,,,
Education,685,Developmental Psychopathology,,,,,,,,
Education,686,Making Sense of School Data,,,,,,,,
Education,687,Language Development and Literacy,,,,,,,,
Education,687R,Role of Community & Family in Supporting Early Grade Reading,,,,,,,,
Education,687T,Materials and Technology for Early Grade Reading,,,,,,,,
Education,688,Social & Cultural Foundations of Counseling,,,,,,,,
Education,689,The Academic Profession,,,,,,,,
Education,691A,SAssessment Practices in Higher Education,,,,,,,,
Education,691D,SWriting For Publication,,,,,,,,
Education,691DD,SInqry & Tchg Elctrcty/Magnsm,,,,,,,,
Education,691E,SemSoc Issues In Education,,,,,,,,
Education,691G,SPrac Reflective Practice,,,,,,,,
Education,691N,SAdvanced Consultation in School Psychology,,,,,,,,
Education,691PD,STeacher Quality & Professional Development in Developing Countries,,,,,,,,
Education,691R,SPromising Practices in School Mathematics,,,,,,,,
Education,691SO,SScience Education Online (SEO) Culminating Course,,,,,,,,
Education,691U,SService Learning and Engagement in Higher Education,,,,,,,,
Education,692B,SPrac Inter Group Dialogue,,,,,,,,
Education,692CC,STechnology Enhanced Formative Assessment in Middle and High School Math and Science,,,,,,,,
Education,692F,"SBehavior & Disabilty: Etiologies, Assessments and Interventions",,,,,,,,
Education,692I,SMthds Adult Litrcy,,,,,,,,
Education,692K,SFoundations & Theories of Learning,,,,,,,,
Education,692L,SWorkshop in LLC Project Development,,,,,,,,
Education,692N,S: Higher Ed and International Institutions,,,,,,,,
Education,692O,Exploring the Natural Sciences Through Inquiry.,,,,,,,,
Education,692Q,SSpiritual Basis SJE,,,,,,,,
Education,692R,Seminar Introduction to College Teaching,,,,,,,,
Education,692SS,SCritical Theories in SJE (Social Justice Education),,,,,,,,
Education,692Z,SStruct Clsm Sucess,,,,,,,,
Education,693A,SAdolescent Growth & Development,,,,,,,,
Education,693F,"STeaching Social Justice Through Science, Technology and Mathematics",,,,,,,,
Education,693K,SDesigning Digital Media for Teaching and Learning,,,,,,,,
Education,693M,SHelping Adults Succeed in the 21st Century: An Evidencebased Adult Basic Educ & Lit System,,,,,,,,
Education,693N,SSocial Justice Eduction in Schools Practice,,,,,,,,
Education,693Q,SFamilySpecial Needs Child,,,,,,,,
Education,693T,SAdolescent Literature,,,,,,,,
Education,694A,SPracticum in Sch Psych Assessment,,,,,,,,
Education,694G,STheories of Interest and Motivation,,,,,,,,
Education,695F,STeaching Statistics and Probability at the Middle School Level,,,,,,,,
Education,695GG,STeaching Calculus at the Middle School Level,,,,,,,,
Education,695J,SAdvanced Integrated Methods,,,,,,,,
Education,696,Independent Study,,,,,,,,
Education,696U,IND ST Single Parent,,,,,,,,
Education,697CC,STSecondary Mathematics Curriculum Topics & Innovations,,,,,,,,
Education,697J,STOrchestrating Educ Reform,,,,,,,,
Education,697L,STAdvanced Cooperative Learning with Standards Based Teaching Part II,,,,,,,,
Education,697M,STRes In Sch Psych,,,,,,,,
Education,697ME,STProfessional Seminar in Mathematics Education,,,,,,,,
Education,697O,STTeaching Math with Computing,,,,,,,,
Education,697R,STCont Iss Cldhd Ed,,,,,,,,
Education,697S,STTheories Of Reasoning,,,,,,,,
Education,697SD,Special Topics Secondary Data Analysis In Education Research,,,,,,,,
Education,697SE,SProfessional Seminar in Science Education,,,,,,,,
Education,697SM,"Special Topics Statistics and Modeling in the Secondary Curriculum, Course 1",,,,,,,,
Education,697SN,"Special Topics Rate of Change and Modeling in the Secondary Curriculum, Course 2",,,,,,,,
Education,697TD,Special Topics Teaching with Digital Media,,,,,,,,
Education,697TE,Special Topics Introduction to Online Teaching,,,,,,,,
Education,697TP,Special Topics Teacher Preparation and Support for Early Grade Reading,,,,,,,,
Education,697TT,STTeaching Content for Language Development,,,,,,,,
Education,697U,ST:Schools and Community,,,,,,,,
Education,697V,STAdvanced Cooperative Learning with Standards Based Teaching Part I,,,,,,,,
Education,697W,STCritical Innovations in World Language Curriculum Development,,,,,,,,
Education,698,Practicum,,,,,,,,
Education,698ED,PracticumHigher Education,,,,,,,,
Education,698LA,"PracPrepracticum I, ACCELA",,,,,,,,
Education,698LB,ESL PrePracticum 2: Analyzing Teaching and Leanring,,,,,,,,
Education,698RA,"PracPrepracticum in Reading, ACCELA",,,,,,,,
Education,698W,Prac Counseling PrePracticum,,,,,,,,
Education,701,Counseling Practicum,,,,,,,,
Education,702,SchoolBased Consultation,,,,,,,,
Education,703,Adm Guid&Psy/SchCom,,,,,,,,
Education,704,Issues of Gender in Science and Science Education,,,,,,,,
Education,705,School Psych Educ Assessment,,,,,,,,
Education,706,Wrkshp In Science Ed,,,,,,,,
Education,707,Generalizability Therory: Principles and Applications,,,,,,,,
Education,708,School Psychology Cognitive Assessment,,,,,,,,
Education,709,Seminar In Reading,,,,,,,,
Education,710,Sem in Math Ed,,,,,,,,
Education,711,Recent Developments Sec Math,,,,,,,,
Education,712,Adv Methods in English,,,,,,,,
Education,713,Developmental Foundations of Social Justice Education,,,,,,,,
Education,714,Learning and Thinking in Childhood,,,,,,,,
Education,716,Remedial Reading,,,,,,,,
Education,717,Research in Higher Education,,,,,,,,
Education,718,Action Research in Schools,,,,,,,,
Education,719,ThryPrc NonFrml Ed,,,,,,,,
Education,720,Theories of International Development for Educators,,,,,,,,
Education,721,Res Meth In Int Educ,,,,,,,,
Education,722,Research on Teacher Education,,,,,,,,
Education,723,Organizing Higher Education,,,,,,,,
Education,724,LangTchng Of Writng,,,,,,,,
Education,725,Recent Developments in Secondary Science,,,,,,,,
Education,726,Introduction to School Leadership,,,,,,,,
Education,727,Scale and Instrument Development,,,,,,,,
Education,728,Intervention with Infants and Toddlers and their Families,,,,,,,,
Education,729,Public Schl Finance,,,,,,,,
Education,730,Research on Teaching,,,,,,,,
Education,731,Strctrl Equatn Model,,,,,,,,
Education,733,Sem In Internatnl Ed,,,,,,,,
Education,734,"Understanding Research in Language, Literacy & Culture",,,,,,,,
Education,735,Adv Thry/Prc Test I,,,,,,,,
Education,736,Adv Thry/Prc Test II,,,,,,,,
Education,737,Educational Media Theory,,,,,,,,
Education,738,Survey of Mathematics and Science Education Research,,,,,,,,
Education,739,Introduction to Inquiry,,,,,,,,
Education,740,Monitoring & Evaluation in International Contexts,,,,,,,,
Education,741,Principles & Practices in School Psychology,,,,,,,,
Education,742,Leadership Skills That Matter,,,,,,,,
Education,743,"History, Culture, and the Social Studies",,,,,,,,
Education,744,NGOs in International Development,,,,,,,,
Education,745,Advanced Aspects of Applied Behavior Analysis,,,,,,,,
Education,746,Social Justice Education (SJE) in Schools,,,,,,,,
Education,747,Programming for Psychometric and Statistical Modeling,,,,,,,,
Education,748,Community Colleges in America,,,,,,,,
Education,749,Multilingualism & Society,,,,,,,,
Education,750,"Apprenticing to Research in Language, Literacy, and Culture",,,,,,,,
Education,751,Scaling Methods for Behavioral Science,,,,,,,,
Education,752,Gender Issues in International Education,,,,,,,,
Education,753,Professional Seminar in Educational Research and Evaluation Methods,,,,,,,,
Education,755,Curr MethodsProgs in Urban Ed,,,,,,,,
Education,756,Advanced Measurement Seminar,,,,,,,,
Education,757,Advanced Statistical Theory Using R,,,,,,,,
Education,758,School Personnel Adm,,,,,,,,
Education,759,College Teaching Practicum,,,,,,,,
Education,760,Special Education Organization & Management,,,,,,,,
Education,762,School Psychology Social and Behavioral Assessment,,,,,,,,
Education,763,Doctoral Seminar in Higher Education I,,,,,,,,
Education,764,Doctoral Seminar in Higher Education II,,,,,,,,
Education,765,PreProfessional Internship in School Psychology,,,,,,,,
Education,766,Multicultural Organization Development,,,,,,,,
Education,767,Researching New Literacies: Multimodal Media Production and Social Justice,,,,,,,,
Education,768,Adult Learning Theory and Practice,,,,,,,,
Education,769,Project Management and Implementation,,,,,,,,
Education,770,Systems of Educator Evaluation and Development,,,,,,,,
Education,771,App Multivar Stat I,,,,,,,,
Education,772,App Multivar Stat II,,,,,,,,
Education,773,Planning for Policy Success,,,,,,,,
Education,775,Historical Foundations of Psychology & Education,,,,,,,,
Education,776,Thry Of Comm Bil Ed,,,,,,,,
Education,777,Advanced Principles and Methods of Teaching Science in the Middle and High School,,,,,,,,
Education,781,Politics in Education,,,,,,,,
Education,782,Teacher Education In Developing Countries,,,,,,,,
Education,783,Diag Reading Diff,,,,,,,,
Education,784,Issues In Child Lit,,,,,,,,
Education,789,IntrvwngQualitv Res,,,,,,,,
Education,790A,Mathematics Curriculum Issues and Trends,,,,,,,,
Education,790C,Historical & Social Foundations of Education,,,,,,,,
Education,790E,Social Network Analysis,,,,,,,,
Education,791F,SemSch As A Wrkplc,,,,,,,,
Education,791M,SPrac College Diversity Teaching,,,,,,,,
Education,791S,Using Video in Research and Teaching,,,,,,,,
Education,791Z,SSeminar in Learning and Teaching Across Contexts,,,,,,,,
Education,792A,SResearch Seminar in Bilingualism & Society,,,,,,,,
Education,792F,SComputational Literacy,,,,,,,,
Education,792M,SSmnr On Language,,,,,,,,
Education,792P,S Seminar on Literacy,,,,,,,,
Education,792Q,"SIntroduction to Research in Mathematics, Science, and Learning Technologies",,,,,,,,
Education,793D,SGlobalization & Ed Policy,,,,,,,,
Education,793L,S Seminar On Literacy,,,,,,,,
Education,794C,SClinical Methods Study,,,,,,,,
Education,794D,SDiscourse Analysis,,,,,,,,
Education,794E,SAdvances in Item Respon Thry,,,,,,,,
Education,794I,Seminar Prevention and Intervention for Achievement Problems in Schools,,,,,,,,
Education,794J,SLearning PostConflct Settings,,,,,,,,
Education,795E,"STheory, Research, Practice of Intergroup Dialogue",,,,,,,,
Education,795G,SAnthropology of Childhood,,,,,,,,
Education,795M,SScaling Methods for the Behavioral Sciences,,,,,,,,
Education,797A,STQualitative Data Analysis,,,,,,,,
Education,797B,SHigher Education Policy,,,,,,,,
Education,797C,ST Alternative Paradigms: Critical Research in Educatiobn,,,,,,,,
Education,797K,Special Topics SJE with College Students in Educational Settings,,,,,,,,
Education,797L,Special Topics Seminar in Critical Literacies,,,,,,,,
Education,797R,Special Topics Research in Critical English Education,,,,,,,,
Education,797SP,"Special Topics The School to Prison Pipeline: Disability, Diversity, and Delinquency",,,,,,,,
Education,797T,STSeminar In Writing,,,,,,,,
Education,802,Professional Development: Supervision of School Psychologists,,,,,,,,
Education,804,Cultural Perspectives On Educational Management,,,,,,,,
Education,807,Seminar in School Counseling (College Counseling),,,,,,,,
Education,808,Program Planning Implementation & Evaluation in Special Education,,,,,,,,
Education,815,"Researching Language, Literacy and Culture",,,,,,,,
Education,817,Ed Plan For Dev Coun,,,,,,,,
Education,818,Alternative Approaches to Education,,,,,,,,
Education,819,Alt Res Meth Intl Ed,,,,,,,,
Education,821,Advanced Validity Theory & Test Validation,,,,,,,,
Education,822,Seminar in Special Education Research,,,,,,,,
Education,824,Strategies for Institutional Change I,,,,,,,,
Education,830,Internship Sch Psych PreDoc,,,,,,,,
Education,837,The Influence of the Social Context of Schools and the Politics of Reform on Teaching and Learning,,,,,,,,
Education,838,Seminar Science Educ,,,,,,,,
Education,844,Hist Of Hi Ed In Am,,,,,,,,
Education,845,Current Issues in Higher Education,,,,,,,,
Education,847,Advanced Qualitative Thinking and Writing,,,,,,,,
Education,851,Principles Supervisn,,,,,,,,
Education,862,Educ Planning and Evaluation,,,,,,,,
Education,863,Administrative Field Experience,,,,,,,,
Education,865,Thry/Rsrch Ed Ldrshp,,,,,,,,
Education,866,Cur Dev:Theory/Rsrch,,,,,,,,
Education,868,Adv Sem Cur Org Thry,,,,,,,,
Education,869,Eval Curric Programs,,,,,,,,
Education,870,Special Problems in International Education,,,,,,,,
Education,871,Design & Evaluation of Educational Programs,,,,,,,,
Education,873,SemResource Personl,,,,,,,,
Education,880,Cur Issues Facing Special Education Admin,,,,,,,,
Education,881,Comparative Educ,,,,,,,,
Education,884,Social Policy and Disability,,,,,,,,
Education,886,Group Counseling in Schools,,,,,,,,
Education,887,Hist Of Amer Educ,,,,,,,,
Education,888,Participatory Action Research Methods,,,,,,,,
Education,891N,SAdv Psychometric Methods I,,,,,,,,
Education,892P,Sem In Multicul Educ,,,,,,,,
Education,892S,SProfessional Seminar in Special Education II,,,,,,,,
Education,893C,SJE Doctoral Seminar,,,,,,,,
Education,897A,STProfessional Journal Writing,,,,,,,,
Education,897B,STRsrch Topics Science & Math,,,,,,,,
Education,897C,Special Topics Seminar in Digital Media Learning,,,,,,,,
Education,897Q,STQualitative Thinking and Writing,,,,,,,,
Education,897R,Special TopicsResearch Apprenticeship Course,,,,,,,,
Education,899,PhD Dissertation,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Environmental Health Science,553,Parasitic Diseases,,,,,,,,
Environmental Health Science,561,Institutional Hygiene and Sanitation,,,,,,,,
Environmental Health Science,562,Air Quality and Assessment,,,,,,,,
Environmental Health Science,563,Biological Effects of Ionizing Radiation,,,,,,,,
Environmental Health Science,564,Principles of Industrial Hygiene,,,,,,,,
Environmental Health Science,565,Environmental Health Practices,,,,,,,,
Environmental Health Science,567,Environmental Compliance Regulations,,,,,,,,
Environmental Health Science,573,Introduction To Aerosol Science,,,,,,,,
Environmental Health Science,588,Developmental Origins of Disease,,,,,,,,
Environmental Health Science,590AS,Toxicity Testing in the 21st Century,,,,,,,,
Environmental Health Science,590M,Introduction to Aerobiology,,,,,,,,
Environmental Health Science,590N,Indoor Environment and Health,,,,,,,,
Environmental Health Science,592E,Seminar Environmental Epigenetics,,,,,,,,
Environmental Health Science,597B,Special Topics Potable Water for Small and Disadvantaged Communities,,,,,,,,
Environmental Health Science,600,Molecular Epidemiology: Principles and Practices for Environmental Health,,,,,,,,
Environmental Health Science,666,Environmental and Occupational Toxicology I,,,,,,,,
Environmental Health Science,671,Risk Assessment and Management,,,,,,,,
Environmental Health Science,690A,"Hormesis: Scientific Foundations & Applications to Toxicology, Risk Assessment and Pharmacology",,,,,,,,
Environmental Health Science,690D,Mathematical Modeling in Toxicology & Environmental Health,,,,,,,,
Environmental Health Science,690RP,Teaching the Teacher I,,,,,,,,
Environmental Health Science,690X,Exposure Assessment in Environmental and Public Health,,,,,,,,
Environmental Health Science,691B,Seminar: Research Methods,,,,,,,,
Environmental Health Science,696,Independent Study,,,,,,,,
Environmental Health Science,698,Practicum,,,,,,,,
Environmental Health Science,699,Masters Thesis,,,,,,,,
Environmental Health Science,734,Envirnmntl Epidmolgy,,,,,,,,
Environmental Health Science,790VS,Graduate Seminars in Environmental Health,,,,,,,,
Environmental Health Science,791L,Seminar Advanced Toxicology,,,,,,,,
Environmental Health Science,796,Independent Study,,,,,,,,
,,,,,,,,,,
Engineering,110,"Introduction to Engineering, Chemical Engineering",,,,,,,,
Engineering,111,"Introduction to Engineering, Civil & Environmental Engineering",,,,,,,,
Engineering,112,"Introduction to Engineering, Electrical & Computer Engineering",,,,,,,,
Engineering,113,"Introduction to Engineering, Mechanical and Industrial Engineering",,,,,,,,
Engineering,114,"Introduction to Engineering, Biomedical Engineering",,,,,,,,
Engineering,190X,Engineering the Ancient World,,,,,,,,
Engineering,191ENGIN1,Freshman Seminar,,,,,,,,
Engineering,197E,Special Topics Introduction to Engineering: Topics in Engineering Disciplines,,,,,,,,
Engineering,197SC01,Introduction to Engineering Institute,,,,,,,,
Engineering,291T,Transfer Student Seminar,,,,,,,,
Engineering,351,Writing in Engineering,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
English,115,American Experience,AL U,,,,,,,
English,116,Native American Literature,,,,,,,,
English,117,Ethnic American Literature,AL U,,,,,,,
English,120,English Composition,,,,,,,,
English,125,Masterpieces of Western Literature I,,,,,,,,
English,126,Masterpieces of Western Literature II,,,,,,,,
English,131,Society and Literature,AL G,,,,,,,
English,132,"Gender, Sexuality, Literature, and Culture",AL G,,,,,,,
English,140,Reading Fiction,,,,,,,,
English,141,Reading Poetry,AL ,,,,,,,
English,142,Reading Drama,,,,,,,,
English,144,World Lit In English,AL,,,,,,,
English,146,Living Writers,,,,,,,,
English,162,Sci FicImagination,,,,,,,,
English,200,Intensive Literary Studies Seminar for Intended Majors,,,,,,,,
English,201,Early British Literature and Culture,,,,,,,,
English,202,Later British Literature and Culture,,,,,,,,
English,203,Bible Myth/Lit/Soc,,,,,,,,
English,204,Introduction to Asian American Literature,,,,,,,,
English,205,Introduction to PostColonial Studies,,,,,,,,
English,217,(Dis)ability and Literature,,,,,,,,
English,221,Shakespeare,AL,,,,,,,
English,222,Shakespeare,,,,,,,,
English,254,WritReadg Imag Lit,AL,,,,,,,
English,268,American Literature and Culture Before 1865,,,,,,,,
English,268H,American Literature and Culture Before 1865,,,,,,,,
English,269,American Literature and Culture After 1865,,,,,,,,
English,270,American Identities,,,,,,,,
English,271,Early Am Lit,,,,,,,,
English,272,American Romanticism,,,,,,,,
English,273,American Realism,,,,,,,,
English,279,Intro Amer Studies,,,,,,,,
English,290BH,All the World's a Stage: An Introduction to Performance Studies,,,,,,,,
English,297TV,STGoing Viral: The Art of Infectious WebVideos,,,,,,,,
English,301,History of the Book,,,,,,,,
English,302,Studies in Textuality and New Media,,,,,,,,
English,307,Modernism and Its Others,,,,,,,,
English,311,Legends Arthur/Brit,,,,,,,,
English,313,Intro to Old English Poetry,,,,,,,,
English,314,Middle Engl Lit,,,,,,,,
English,319,Representing the Holocaust,,,,,,,,
English,320,Religion In West Lit,,,,,,,,
English,326,ElizJacobean Drama,,,,,,,,
English,327,Modern Business Writing,,,,,,,,
English,330,Practical Criticism,,,,,,,,
English,339,Film And Literature,,,,,,,,
English,341,Autobiography Studies,,,,,,,,
English,342,Tragic Drama,,,,,,,,
English,343,English Epic Tradition,,,,,,,,
English,348,Rise Of The Novel,,,,,,,,
English,349,NineteenthCentury British Fiction,,,,,,,,
English,350,Expository Writing,,,,,,,,
English,350H,Expository Writing,,,,,,,,
English,353,Expository Writing,,,,,,,,
English,354,Creative Writing,,,,,,,,
English,355,Creative Writing Fiction,,,,,,,,
English,356,Creative Writing Poetry,,,,,,,,
English,358,The Romantic Poets,,,,,,,,
English,361,"Modern Novel, 19001945",,,,,,,,
English,362,Mod Novel 1945Prsnt,,,,,,,,
English,363,Modern British Drama,,,,,,,,
English,364H,Modern European Drama,,,,,,,,
English,365,20C Lit Of Ireland,AL,,,,,,,
English,366,Modern Poetry,,,,,,,,
English,367,Contemporary Poetry,,,,,,,,
English,368,Modern American Drama,,,,,,,,
English,369,Studies In Modern Fiction,,,,,,,,
English,371,African American Literature,,,,,,,,
English,372,Caribbean Literature,,,,,,,,
English,372H,"Caribbean Literature, Honors",,,,,,,,
English,373,American Indian Literature,,,,,,,,
English,373ISH,American Indian Literature with Honors Independent Study,,,,,,,,
English,374H,20th Century American Literature,,,,,,,,
English,375,American Poetry,,,,,,,,
English,376,American Fiction,,,,,,,,
English,378,American Women Writers,,,,,,,,
English,379,Introduction to Professional Writing,,,,,,,,
English,380,Prof WrTec Comm I,,,,,,,,
English,381,Prof WrTec Comm II,,,,,,,,
English,382,Prof WrTec Comm III,,,,,,,,
English,385,Creative Writing: Nonfiction,,,,,,,,
English,386,Studies in Writing and Culture,,,,,,,,
English,388,"Rhetoric, Writing, and Society",,,,,,,,
English,391AC,SMultilingual Writing and Global Language Change,,,,,,,,
English,391AF,STCreative Writing: The Television Pilot Script,,,,,,,,
English,391AG,SWriting the Graphic Novel,,,,,,,,
English,391AJ,SWriting For A Living,,,,,,,,
English,391AK,Seminar The Theory and Practice of Therapeutic Writing,,,,,,,,
English,391C,Seminar Advanced Software Professional Writing,,,,,,,,
English,391E,Seminar Creative Writing: Screenplay,,,,,,,,
English,391FF,SFollow the Fringe,,,,,,,,
English,391J,SeminarModern and Contemporary Drama by Women,,,,,,,,
English,391S,"Special Topics Doing Digital: Critical Skills, Literacies, and Methods",,,,,,,,
English,412,History Of English Language,,,,,,,,
English,416,Chaucer's Canterbury Tales,,,,,,,,
English,419,Games Thinkers Play,,,,,,,,
English,421,Advanced Shakespeare,,,,,,,,
English,437,Milton,,,,,,,,
English,450,Advanced Expository Writing,,,,,,,,
English,468,James Joyce,,,,,,,,
English,469EH,"Black British Writers, Honors",,,,,,,,
English,491LH,"Seminar Literary Makings of the Modern Self, Honors",,,,,,,,
English,492L,SAfrican American Literature & Democracy,,,,,,,,
English,494CI,"Codes, Ciphers, Hackers and Crackers",,,,,,,,
English,494DI,"Dystopian Games, Comics, Media",,,,,,,,
English,494EI,"Writing, Identity and English Studies",,,,,,,,
English,494FI,Philosophizing Your Future,,,,,,,,
English,494JI,Going to Jail: Incarceration in US Literature and Culture,,,,,,,,
English,494MI,Virtual Medieval: Fictions and Fantasies of the Middle Ages,,,,,,,,
English,494PI,Prose and Cons,,,,,,,,
English,494PISH,Prose and Cons with Honors Independent Study,,,,,,,,
English,494RI,Race and Contemporary Arts,,,,,,,,
English,494WI,Whitman and His Legacy,,,,,,,,
English,499D,"Honors Thesis Foundations & Departures in Creative Writing: Fiction, Poetry, & Literary Nonfiction",,,,,,,,
English,502,Introduction to Old English,,,,,,,,
English,505,Beowulf,,,,,,,,
English,521,Introduction to Old Irish,,,,,,,,
English,591AA,WMWP: Summer Institute,,,,,,,,
English,591AB,SWMWP Summer Institute Inquiry Project,,,,,,,,
English,591AC,SDeepening Content Learning by Improving Content Literacy,,,,,,,,
English,591C,Sem:Writing Teachers Writing,,,,,,,,
English,591DA,SPrinciples and Practices of Effective Literacy in ContentArea Curriculum Design,,,,,,,,
English,591DC,Seminar Teaching in the Digital Classroom,,,,,,,,
English,591DD,Working with English Language Learners in the Content Areas: Category II,,,,,,,,
English,591LL,SLiteracy Leadership Institute,,,,,,,,
English,591MM,SContent Area Literacy,,,,,,,,
English,591TD,SeminarTeaching Diverse Learners,,,,,,,,
English,592AF,STeaching By Design,,,,,,,,
English,592B,STeaching Expository and Persuasive Writing,,,,,,,,
English,592E,Seminar Teaching Social Justice through the Lens of the Holocaust,,,,,,,,
English,592K,Seminar Collaborative Coaching,,,,,,,,
English,592L,Seminar Civics Literacy Leadership Institute,,,,,,,,
English,592S,Seminar Science Literacy/Literacy in Science Leadership Institute,,,,,,,,
English,592T,Seminar Topics in Literacy Education,,,,,,,,
English,592W,Seminar Inquiry into Science Writing,,,,,,,,
English,593B,Seminar Theorizing Video Games and New Media,,,,,,,,
English,593C,"Seminar College, Career, & Coummunity Writers Program",,,,,,,,
English,593R,Seminar Reaching and Teaching All Learners,,,,,,,,
English,593W,Seminar Writing & Assessing with Digital Media,,,,,,,,
English,597F,ST: Intensive Fiction Workshop,,,,,,,,
English,597J,ST: Intensive Poetry Workshop,,,,,,,,
English,706,Middle English Liturature,,,,,,,,
English,708,ChaucerCntrbry Tls,,,,,,,,
English,709,ChaucerFrItal Pds,,,,,,,,
English,711,Technical Writing,,,,,,,,
English,712,Writing and the Teaching of Writing,,,,,,,,
English,713,Studies In Film,,,,,,,,
English,721,18Th Century Novel,,,,,,,,
English,730,Lit Of 16Th Century,,,,,,,,
English,731,Bible As Literature,,,,,,,,
English,732,Shakespeare,,,,,,,,
English,734,ElzbthnJacobn Drama,,,,,,,,
English,737,Lit Of 17Th Century,,,,,,,,
English,738,Milton,,,,,,,,
English,740,Rstrtn18Th Cent Lit,,,,,,,,
English,745,Romantic Literature,,,,,,,,
English,746,Victorian Literature,,,,,,,,
English,750,Early American Lit,,,,,,,,
